1	1126	0.624	0.376
1	1418	0.697	0.303
1	2555	0.888	0.112
1	3316	0.255	0.745
1	4435	0.865	0.135
1	4728	0.968	0.032
1	4822	0.821	0.179
1	6116	0.339	0.661
1	6284	0.951	0.049
1	6930	0.759	0.241
1	7161	0.973	0.027
1	7579	0.822	0.178
1	8326	0.674	0.326
1	8356	0.659	0.341
1	9360	0.637	0.363
1	9363	0.671	0.329
1	9742	0.974	0.026
1	10017	0.436	0.564
1	10370	0.536	0.464
1	11367	0.673	0.327
1	11471	0.925	0.075
1	11609	0.971	0.029
1	12008	0.97	0.03
1	13245	0.902	0.098
1	13506	0.914	0.086
1	14696	0.883	0.117
1	17768	0.918	0.082
1	17925	0.96	0.04
1	18655	0.844	0.156
1	19851	0.573	0.427
1	21180	0.905	0.095
1	21405	0.98	0.02
1	22328	0.869	0.131
1	22473	0.99	0.01
1	23360	0.501	0.499
1	23576	0.674	0.326
1	23614	0.101	0.899
1	23728	0.909	0.091
1	23763	0.053	0.947
1	23769	0.938	0.062
1	24834	0.927	0.073
1	25091	0.851	0.149
1	25215	0.948	0.052
1	25549	0.927	0.073
1	26491	0.964	0.036
1	28051	0.947	0.053
1	28539	0.957	0.043
1	29278	0.981	0.019
1	30307	0.654	0.346
1	30443	0.99	0.01
1	30657	0.841	0.159
1	30743	0.966	0.034
1	30865	0.859	0.141
1	31158	0.951	0.049
1	32264	0.981	0.019
1	32449	0.956	0.044
1	33373	0.964	0.036
1	34014	0.65	0.35
1	35044	0.915	0.085
1	36218	0.772	0.228
1	37083	0.982	0.018
1	37670	0.879	0.121
1	38072	0.971	0.029
1	38181	0.829	0.171
1	39963	0.801	0.199
1	40101	0.304	0.696
1	40403	0.942	0.058
1	40405	0.914	0.086
1	40605	0.403	0.597
1	41091	0.938	0.062
1	41928	0.962	0.038
1	42127	0.752	0.248
1	42620	0.754	0.246
1	42654	0.754	0.246
1	43183	0.778	0.222
1	43471	0.933	0.067
1	44401	0.924	0.076
1	45183	0.826	0.174
1	45627	0.867	0.133
1	45651	0.206	0.794
1	45700	0.04	0.96
1	45736	0.969	0.031
1	46457	0.971	0.029
1	47785	0.974	0.026
1	48777	0.988	0.012
1	50634	0.913	0.087
1	52050	0.952	0.048
1	52533	0.642	0.358
1	52603	0.977	0.023
1	53938	0.987	0.013
1	54101	0.553	0.447
1	54404	0.966	0.034
1	54544	0.943	0.057
1	54711	0.987	0.013
1	54962	0.669	0.331
1	55261	0.815	0.185
1	55999	0.693	0.307
1	56466	0.075	0.925
1	56655	0.588	0.412
1	57125	0.989	0.011
1	57808	0.842	0.158
1	58031	0.907	0.093
1	58157	0.861	0.139
1	58555	0.986	0.014
1	58605	0.253	0.747
1	58726	0.894	0.106
1	59076	0.905	0.095
1	60977	0.639	0.361
1	61590	0.987	0.013
1	61665	0.71	0.29
1	62134	0.954	0.046
